comment_text,id,identity_hate,insult,obscene,set,severe_toxic,threat,toxic,toxicity
explanation why the edits made under my username hardcore metallica fan were reverted  they weren t vandalisms  just closure on some gas after i voted at new york dolls fac  and please don t remove the template from the talk page since i m retired now ,0000997932d777bf,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
d aww  he matches this background colour i m seemingly stuck with  thanks  talk january utc ,000103f0d9cfb60f,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
hey man  i m really not trying to edit war  it s just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page  he seems to care more about the formatting than the actual info ,000113f07ec002fd,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  more i can t make any real suggestions on improvement i wondered if the section statistics should be later on  or a subsection of types of accidents  i think the references may need tidying so that they are all in the exact same format ie date format etc  i can do that later on  if no one else does first if you have any preferences for formatting style on references or want to do it yourself please let me know there appears to be a backlog on articles for review so i guess there may be a delay until a reviewer turns up  it s listed in the relevant form eg wikipedia good article nominations  trans port ,0001b41b1c6bb37e,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
you  sir  are my hero  any chance you remember what page that s on ,0001d958c54c6e35,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 congratulations from me as well  use the tools well  talk  ,00025465d4725e87,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
cock  suck before you piss around on my work,0002bcb3da6cb337,0.0,1.0,1.0,train,1.0,0.0,1.0,4.0
your vandalism to the matt shirvington article has been reverted please don t do it again  or you will be banned ,00031b1e95af7921,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
sorry if the word  nonsense  was offensive to you  anyway  i m not intending to write anything in the article wow they would jump on me for vandalism i m merely requesting that it be more encyclopedic so one can use it for school as a reference  i have been to the selective breeding page but it s almost a stub  it points to  animal breeding  which is a short messy article that gives you no info  there must be someone around with expertise in eugenics ,00037261f536c51d,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
alignment on this subject and which are contrary to those of dulithgow,00040093b2687caa,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
